Bowler,Venue,wickets_taken,runs_conceded,balls_bowled,economy_rate
A Ashish Reddy,Barabati Stadium,1,32,18,10.666666666666666
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,20,18,6.666666666666667
A Ashish Reddy,Eden Gardens,1,15,12,7.5
A Ashish Reddy,M Chinnaswamy Stadium,2,84,47,10.72340425531915
A Ashish Reddy,MA Chidambaram Stadium,1,31,16,11.625
A Ashish Reddy,Rajiv Gandhi International Stadium,9,164,108,9.11111111111111
A Ashish Reddy,Subrata Roy Sahara Stadium,2,32,24,8.0
A Ashish Reddy,Wankhede Stadium,1,11,13,5.0769230769230775
A Badoni,Brabourne Stadium,1,5,6,5.0
A Badoni,Punjab Cricket Association IS Bindra Stadium,0,0,1,0.0
A Badoni,Wankhede Stadium,1,6,6,6.0
A Chandila,M Chinnaswamy Stadium,0,21,24,5.25
A Chandila,MA Chidambaram Stadium,1,16,18,5.333333333333333
A Chandila,Punjab Cricket Association Stadium,1,24,24,6.0
A Chandila,Rajiv Gandhi International Stadium,1,20,24,5.0
A Chandila,Sawai Mansingh Stadium,8,161,144,6.708333333333333
A Choudhary,M Chinnaswamy Stadium,3,57,53,6.452830188679245
A Choudhary,Rajiv Gandhi International Stadium,1,55,24,13.75
A Choudhary,Wankhede Stadium,1,32,24,8.0
A Dananjaya,Wankhede Stadium,0,47,24,11.75
A Flintoff,Kingsmead,0,50,24,12.5
A Flintoff,Newlands,1,44,24,11.0
A Flintoff,St George's Park,1,11,18,3.6666666666666665
A Kumble,Brabourne Stadium,1,18,24,4.5
A Kumble,Dr DY Patil Sports Academy,5,46,45,6.133333333333334
A Kumble,Eden Gardens,1,40,42,5.714285714285714
A Kumble,Feroz Shah Kotla,1,33,24,8.25
A Kumble,Kingsmead,7,72,96,4.5
A Kumble,M Chinnaswamy Stadium,11,355,283,7.5265017667844525
A Kumble,MA Chidambaram Stadium,4,30,48,3.75
A Kumble,New Wanderers Stadium,6,88,84,6.285714285714286
A Kumble,Newlands,5,44,43,6.13953488372093
A Kumble,Punjab Cricket Association Stadium,1,69,48,8.625
A Kumble,Rajiv Gandhi International Stadium,1,33,24,8.25
A Kumble,Sawai Mansingh Stadium,1,60,48,7.5
A Kumble,St George's Park,0,80,72,6.666666666666667
A Kumble,SuperSport Park,4,63,60,6.3
A Kumble,Vidarbha Cricket Association Stadium,1,27,24,6.75
A Mishra,Arun Jaitley Stadium,18,309,264,7.0227272727272725
A Mishra,Barabati Stadium,2,59,60,5.9
A Mishra,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,5,53,54,5.888888888888889
A Mishra,Brabourne Stadium,0,71,42,10.142857142857142
A Mishra,Buffalo Park,0,20,24,5.0
A Mishra,Dr DY Patil Sports Academy,2,26,24,6.5
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,134,120,6.7
A Mishra,Dubai International Cricket Stadium,0,115,72,9.583333333333334
A Mishra,Eden Gardens,4,168,138,7.304347826086956
A Mishra,Feroz Shah Kotla,41,780,648,7.222222222222222
A Mishra,Green Park,1,27,12,13.5
A Mishra,Himachal Pradesh Cricket Association Stadium,4,9,24,2.25
A Mishra,Kingsmead,0,57,42,8.142857142857142
A Mishra,M Chinnaswamy Stadium,5,137,102,8.058823529411764
A Mishra,M.Chinnaswamy Stadium,0,32,12,16.0
A Mishra,MA Chidambaram Stadium,11,152,144,6.333333333333333
A Mishra,Maharashtra Cricket Association Stadium,9,94,90,6.266666666666667
A Mishra,Narendra Modi Stadium,1,27,18,9.0
A Mishra,Nehru Stadium,1,12,24,3.0
A Mishra,New Wanderers Stadium,3,38,42,5.428571428571429
A Mishra,OUTsurance Oval,3,33,24,8.25
A Mishra,Punjab Cricket Association IS Bindra Stadium,0,115,66,10.454545454545455
A Mishra,Punjab Cricket Association Stadium,2,74,54,8.222222222222221
A Mishra,Rajiv Gandhi International Stadium,33,706,578,7.328719723183391
A Mishra,Sardar Patel Stadium,2,47,48,5.875
A Mishra,Saurashtra Cricket Association Stadium,1,19,18,6.333333333333333
A Mishra,Sawai Mansingh Stadium,5,122,83,8.819277108433734
A Mishra,Shaheed Veer Narayan Singh International Stadium,1,88,60,8.8
A Mishra,Sharjah Cricket Stadium,3,97,57,10.210526315789474
A Mishra,Sheikh Zayed Stadium,4,61,48,7.625
A Mishra,St George's Park,1,19,24,4.75
A Mishra,Subrata Roy Sahara Stadium,0,25,18,8.333333333333334
A Mishra,SuperSport Park,7,127,97,7.855670103092783
A Mishra,Wankhede Stadium,6,190,156,7.3076923076923075
A Mithun,Feroz Shah Kotla,3,76,42,10.857142857142858
A Mithun,Himachal Pradesh Cricket Association Stadium,0,29,18,9.666666666666666
A Mithun,JSCA International Stadium Complex,1,37,24,9.25
